timestamp,cooling_load_tons,chilled_water_supply_temp_c,chilled_water_return_temp_c,chilled_water_flow_rate_gpm,outdoor_ambient_temp_c,outdoor_humidity_pct,condenser_water_temp_c,condenser_pressure_kpa,power_consumption_kw,operational_fault_flag,fault_description
2026-03-01 00:00:00,302.0,6.41,11.94,696.8,15.0,85.5,31.7,1005.1,159.05,0,Normal
2026-03-01 00:15:00,324.4,6.45,11.88,762.8,15.0,83.2,31.5,1013.9,199.16,0,Normal
2026-03-01 00:30:00,306.3,7.42,12.48,711.6,15.0,85.3,32.2,1022.2,179.46,0,Normal
2026-03-01 00:45:00,313.2,6.7,11.95,738.0,15.9,86.8,31.4,993.5,178.73,0,Normal
2026-03-01 01:00:00,361.8,6.97,12.43,863.1,15.0,84.5,30.1,987.8,211.91,0,Normal
2026-03-01 01:15:00,353.5,6.42,11.53,869.4,15.0,84.1,31.6,964.0,218.66,0,Normal
2026-03-01 01:30:00,287.5,6.43,11.62,682.0,16.5,80.7,32.1,1041.2,146.73,0,Normal
2026-03-01 01:45:00,340.7,7.08,12.72,778.1,15.5,80.3,32.6,995.4,203.47,0,Normal
2026-03-01 02:00:00,340.3,6.23,12.07,845.2,15.0,76.7,29.9,952.8,182.88,0,Normal
2026-03-01 02:15:00,291.3,6.55,11.83,678.2,15.7,88.6,33.1,1031.0,177.5,0,Normal
2026-03-01 02:30:00,340.5,6.71,12.38,815.7,15.0,75.9,32.7,1021.2,202.25,0,Normal
2026-03-01 02:45:00,358.4,6.74,11.78,871.4,15.0,77.3,30.6,993.6,210.5,0,Normal
2026-03-01 03:00:00,291.9,6.64,12.19,705.6,16.4,76.3,30.4,958.3,163.06,0,Normal
2026-03-01 03:15:00,297.1,6.84,12.03,740.3,15.0,81.8,31.0,989.7,155.85,0,Normal
2026-03-01 03:30:00,345.4,6.94,12.51,841.0,15.0,76.0,30.8,974.4,194.38,0,Normal
2026-03-01 03:45:00,326.8,6.96,12.35,762.8,16.4,81.1,32.3,1019.6,194.66,0,Normal
2026-03-01 04:00:00,333.8,6.35,12.15,855.6,16.2,72.3,30.6,977.3,200.46,0,Normal
2026-03-01 04:15:00,328.5,6.6,11.84,793.3,18.7,75.0,33.7,1045.1,187.74,0,Normal
2026-03-01 04:30:00,329.8,7.12,12.73,787.8,17.4,69.3,30.5,967.0,195.7,0,Normal
2026-03-01 04:45:00,286.8,7.01,12.32,712.5,17.1,80.0,30.7,973.0,158.76,0,Normal
2026-03-01 05:00:00,346.2,6.22,19.97,357.5,22.0,65.4,34.0,1055.7,212.79,1,flow_choke
2026-03-01 05:15:00,349.2,6.82,12.28,848.2,20.0,70.1,30.8,996.2,196.3,0,Normal
2026-03-01 05:30:00,314.3,6.01,11.22,816.5,21.0,70.1,32.9,1018.3,189.56,0,Normal
2026-03-01 05:45:00,318.9,6.72,12.15,758.5,19.3,68.0,34.6,1051.3,200.77,0,Normal
2026-03-01 06:00:00,281.7,7.36,12.71,668.2,21.2,64.3,32.7,1031.5,155.0,0,Normal
2026-03-01 06:15:00,349.9,6.37,11.93,842.6,22.7,63.2,32.4,1015.7,201.37,0,Normal
2026-03-01 06:30:00,368.2,6.41,11.97,910.6,21.4,62.6,32.6,1033.0,219.65,0,Normal
2026-03-01 06:45:00,369.2,6.97,12.71,848.3,24.2,60.5,33.7,1031.0,239.69,0,Normal
2026-03-01 07:00:00,415.4,6.16,12.02,947.8,23.3,63.7,33.7,1018.0,244.06,0,Normal
2026-03-01 07:15:00,395.2,6.48,11.81,933.9,24.3,67.4,34.9,1061.4,257.88,0,Normal
2026-03-01 07:30:00,433.6,6.91,12.79,999.8,24.4,55.1,32.5,1008.0,270.93,0,Normal
2026-03-01 07:45:00,409.5,6.48,11.8,972.2,28.5,50.7,36.0,1092.8,253.5,0,Normal
2026-03-01 08:00:00,449.4,6.62,12.46,1091.1,26.2,54.6,34.4,1049.4,269.92,0,Normal
2026-03-01 08:15:00,460.1,6.96,12.84,1081.9,25.1,64.2,35.0,1084.2,274.47,0,Normal
2026-03-01 08:30:00,483.9,6.85,12.14,1125.7,28.4,49.6,34.3,1052.1,291.21,0,Normal
2026-03-01 08:45:00,482.2,6.79,12.58,1159.0,25.8,58.4,35.3,1081.1,283.98,0,Normal
2026-03-01 09:00:00,500.6,6.58,12.27,1222.9,28.3,57.6,35.1,1078.0,306.13,0,Normal
2026-03-01 09:15:00,536.1,6.83,12.51,1244.3,25.5,47.7,33.5,1043.1,331.86,0,Normal
2026-03-01 09:30:00,515.4,6.66,12.83,1257.4,26.8,51.4,33.4,1037.8,302.96,0,Normal
2026-03-01 09:45:00,496.0,6.86,12.49,1210.9,29.4,54.9,34.8,1076.0,299.43,0,Normal
2026-03-01 10:00:00,588.9,6.53,12.3,1437.2,30.5,46.2,36.0,1081.1,351.6,0,Normal
2026-03-01 10:15:00,587.7,6.64,12.63,1441.0,29.9,46.2,34.8,1089.0,361.1,0,Normal
2026-03-01 10:30:00,527.9,6.35,12.38,1322.0,29.7,44.2,34.2,1051.9,322.43,0,Normal
2026-03-01 10:45:00,583.4,6.69,19.66,1391.4,29.6,42.0,34.2,1034.9,352.65,1,sensor_drift
2026-03-01 11:00:00,558.6,6.42,12.62,1343.3,28.0,43.1,34.6,1066.8,338.76,0,Normal
2026-03-01 11:15:00,581.6,6.31,12.41,1385.4,29.3,40.5,33.9,1036.1,349.25,0,Normal
2026-03-01 11:30:00,585.1,6.79,12.22,1404.4,29.7,45.3,34.9,1080.6,360.38,0,Normal
2026-03-01 11:45:00,573.6,6.77,12.59,1414.9,32.1,42.0,35.8,1122.8,353.51,0,Normal
2026-03-01 12:00:00,560.4,6.97,12.75,1311.3,31.0,45.9,34.1,1041.3,339.07,0,Normal
2026-03-01 12:15:00,562.2,6.55,12.59,1327.7,27.8,38.8,32.5,1022.8,333.52,0,Normal
2026-03-01 12:30:00,554.9,6.84,12.1,1366.1,30.9,46.5,35.9,1065.5,351.33,0,Normal
2026-03-01 12:45:00,554.2,6.89,13.44,1355.6,29.8,48.7,34.7,1072.8,341.46,0,Normal
2026-03-01 13:00:00,569.5,6.86,12.93,1357.6,29.2,37.7,35.0,1059.2,348.47,0,Normal
2026-03-01 13:15:00,548.3,6.41,12.34,1337.3,31.0,47.6,36.0,1084.6,526.26,1,power_surge
2026-03-01 13:30:00,577.3,6.75,13.0,1394.0,31.4,51.4,36.0,1077.5,360.46,0,Normal
2026-03-01 13:45:00,590.4,6.83,13.39,1454.4,31.0,42.2,36.0,1105.0,375.27,0,Normal
2026-03-01 14:00:00,530.7,6.7,12.78,1275.5,28.1,54.4,34.9,1086.1,328.52,0,Normal
2026-03-01 14:15:00,542.2,5.97,12.09,1326.8,28.6,50.0,35.4,1081.3,321.47,0,Normal
2026-03-01 14:30:00,538.8,6.76,12.67,1359.1,29.2,46.3,34.4,1046.5,336.36,0,Normal
2026-03-01 14:45:00,527.3,7.47,13.29,1280.4,29.9,49.7,36.0,1117.8,324.02,0,Normal
2026-03-01 15:00:00,505.7,6.57,12.27,1215.0,27.3,53.1,36.0,1082.7,313.21,0,Normal
2026-03-01 15:15:00,510.0,6.45,12.06,1242.1,27.3,52.1,34.5,1028.8,312.46,0,Normal
2026-03-01 15:30:00,490.3,6.83,12.44,1167.7,25.5,55.0,34.2,1061.9,292.69,0,Normal
2026-03-01 15:45:00,433.5,6.81,12.14,1100.1,24.9,50.2,34.3,1041.3,263.59,0,Normal
